Year,Month,Date,Control,SGL,Plot,Transect,Trap,ID,Recapture,Specimen.Species,Sex,Age,Total.WT,Bag.WT,Animal.Weight,Ear.length,Foot.length,Tail.length,Body.length,Larvae,Nymphs,Ticks.Total
2022,October,10/7/2022,C,SGL176,SUMMER CONTROL,,17,N/A,N,CHP,,,,,,,,,,,,
2022,October,10/7/2022,C,SGL176,SUMMER CONTROL,,25,N/A,N,CHP,,,,,,,,,,,,
2022,October,10/7/2022,C,SGL176,SUMMER CONTROL,,26,N/A,N,CHP,,,,,,,,,,,,
2025,July,7/29/2025,C,SGL103,4,A,7,R70,Y,CHP,F,AD,,,,,,,,2,0,
2025,June,6/12/2025,C,SGL103,4,A,5,R70,Y,CHP,,,,,,,,,,,,
2025,May,5/29/2025,C,SGL103,4,A,4,R70,N,CHP,F,AD,86,9,77,1.75,,,15,0,3,
2025,May,5/30/2025,C,SGL103,4,A,2,R70,Y,CHP,,,,,,,,,,,,
2025,June,6/12/2025,C,SGL103,4,A,9,R196,N,CHP,F,AD,,,,,,,,1,0,
2025,June,6/12/2025,C,SGL103,4,A,8,R158,N,CHP,F,AD,80,11,69,1.5,,,13,0,4,
2025,July,7/24/2025,C,SGL176,7,B,11,BK486,N,CHP,F,AD,90,13,77,1.4,,,16.3,2,3,
2025,July,7/22/2025,C,SGL176,1,B,10,BK482,N,CHP,M,AD,83,9,74,1.5,,,16,3,0,
2025,August,8/6/2025,C,SGL33,10,A,9,BK464,N,CHP,F,AD,98,10,88,1.5,,,15,3,0,
